,item_name,price,menu_section,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
71,Mug® Root Beer,$2.59,Drinks,360,0g,0g,0g,0mg,140mg,96g,0g,95g,95g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
72,Starry®,$2.59,Drinks,370,0g,0g,0g,0mg,85mg,97g,0g,97g,97g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
73,G2 Gatorade® Fruit Punch,$2.59,Drinks,80,0g,0g,0g,0mg,410mg,19g,0g,17g,17g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
74,Brisk® Mango Fiesta,$2.59,Drinks,170,0g,0g,0g,0mg,95mg,45g,0g,45g,45g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
75,Lipton® Unsweetened Iced Tea,$2.59,Drinks,0,0g,0g,0g,0mg,300mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
76,Nachos BellGrande®,$6.19,Nachos,730,38g,6g,0g,25mg,1130mg,81g,15g,4g,<1g,17g,0mcg,200mg,2.7mg,970mg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Chips and Nacho Cheese Sauce,$2.59,Nachos,220,13g,1.5g,0g,0mg,280mg,24g,2g,1g,0g,3g,0mcg,60mg,0.2mg,290mg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Chips and Vegan Nacho Sauce,$2.59,Nachos,210,11g,1.5g,0g,0mg,270mg,24g,2g,0g,0g,2g,0mcg,40mg,0.2mg,260mg,,,,,,,,,,,
79,Bean Burrito,$1.99,Veggie Cravings,350,9g,4g,0g,5mg,1040mg,55g,10g,3g,2g,13g,0mcg,210mg,4mg,400mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Cheesy Bean and Rice Burrito,$1.00,Veggie Cravings,420,16g,4g,0g,<5mg,920mg,55g,7g,3g,2g,9g,0mcg,160mg,3.4mg,360mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Fiesta Veggie Burrito,$2.00,Veggie Cravings,570,28g,8g,0g,25mg,1020mg,65g,9g,4g,2g,14g,19.2mcg,270mg,3.8mg,470mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Spicy Potato Soft Taco,$1.10,Veggie Cravings,240,12g,3g,0g,10mg,480mg,28g,2g,1g,<1g,5g,0mcg,110mg,1.3mg,270mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Black Bean Chalupa Supreme®,$4.19,Veggie Cravings,340,18g,4g,0g,10mg,460mg,36g,6g,4g,<1g,10g,0mcg,140mg,2.5mg,300mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Black Bean Crunchwrap Supreme®,$5.39,Veggie Cravings,520,18g,5g,0g,5mg,1100mg,77g,8g,6g,2g,13g,0mcg,260mg,4.8mg,610mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Veggie Mexican Pizza,$5.19,Veggie Cravings,470,25g,7g,0g,20mg,730mg,46g,7g,3g,<1g,14g,0mcg,310mg,2.6mg,360mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Power Menu Bowl - Veggie,$6.79,Veggie Cravings,420,20g,5g,0g,20mg,870mg,47g,11g,3g,0g,12g,19.2mcg,170mg,2.7mg,590mg,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Cheesy Roll Up,$1.00,Veggie Cravings,180,9g,6g,0g,20mg,430mg,17g,1g,1g,<1g,8g,0mcg,230mg,1mg,60mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Cheesy Fiesta Potatoes,$2.59,Veggie Cravings,240,13g,2g,0g,<5mg,520mg,28g,3g,1g,0g,3g,0mcg,40mg,0.3mg,560mg,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Chips and Nacho Cheese Sauce,$2.59,Veggie Cravings,220,13g,1.5g,0g,0mg,280mg,24g,2g,1g,0g,3g,0mcg,60mg,0.2mg,290mg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
